year,course,number,hsc_mean,hsc_sd,hsc_max,hsc_p99,hsc_p90,hsc_p75,hsc_p50,hsc_p25,scaled_mean,scaled_sd,scaled_max,scaled_p99,scaled_p90,scaled_p75,scaled_p50,scaled_p25
2022,French Beginners,323,37.9,7.2,50.0,49.0,47.0,44.0,38.0,32.5,25.0,10.5,49.1,45.7,39.5,32.7,24.6,16.6
2022,French Continuers,514,40.4,5.5,49.0,49.0,47.0,45.0,41.0,37.5,34.0,8.7,50.0,49.3,44.4,40.6,35.0,29.0
2022,French Extension,98,39.6,4.4,47.0,47.0,45.0,43.0,40.0,37.0,40.2,4.8,50.0,50.0,45.3,43.2,40.9,37.6
2022,German Beginners,91,39.9,6.7,50.0,50.0,48.0,45.5,41.0,34.5,25.0,10.8,49.1,49.1,41.1,33.1,24.2,16.9
2022,German Continuers,143,40.5,5.3,49.5,49.0,47.0,45.0,40.5,37.5,34.4,8.6,50.0,48.5,44.9,40.8,34.9,29.9
2022,Indonesian Continuers,45,42.3,5.1,49.0,49.0,47.5,46.0,43.5,39.5,31.9,10.2,50.0,50.0,44.0,39.4,32.6,24.6
2022,Italian Beginners,282,38.5,7.1,50.0,49.5,47.5,44.5,39.0,34.0,25.6,10.9,48.7,46.6,40.5,34.5,25.3,17.7
2022,Italian Continuers,181,40.4,4.7,49.0,49.0,46.0,44.0,40.0,38.0,31.7,8.6,50.0,50.0,42.4,38.1,31.3,26.9
2022,Japanese Beginners,636,35.0,8.1,48.5,48.0,44.5,41.0,36.0,29.5,23.2,11.7,47.7,47.1,38.7,32.6,23.3,13.8
2022,Japanese Continuers,746,39.8,6.3,49.0,48.5,46.5,44.5,41.0,36.0,31.2,9.8,50.0,48.3,43.0,38.7,32.0,24.9
2022,Japanese Extension,161,42.4,5.4,49.0,49.0,48.0,47.0,44.0,39.0,38.0,6.1,50.0,48.8,45.9,42.3,38.2,34.7
2022,Japanese in Context,44,43.3,3.1,47.5,47.5,46.0,45.5,44.0,41.5,26.8,10.9,50.0,50.0,39.2,36.4,27.1,17.5
2022,Korean Beginners,110,40.1,6.2,49.5,49.5,47.0,45.0,40.5,36.0,26.7,11.0,50.0,50.0,41.0,34.9,26.6,17.7
2022,Korean in Context,51,44.2,4.3,49.0,49.0,48.0,47.0,46.0,43.0,29.3,9.8,49.5,49.5,41.7,36.0,30.9,23.4
2022,Latin Continuers,141,42.3,4.9,49.5,49.5,47.5,45.5,43.5,39.5,39.9,7.1,50.0,49.8,47.4,44.4,41.6,37.1
2022,Latin Extension,83,45.8,4.7,50.0,50.0,49.0,49.0,47.0,46.0,41.4,7.4,50.0,50.0,47.9,46.4,43.4,39.3
2022,Modern Greek Beginners,75,43.5,5.2,50.0,50.0,49.0,48.0,45.0,40.5,27.8,10.9,48.7,48.7,42.1,36.9,28.1,20.2
2022,Modern Greek Continuers,80,42.6,4.8,48.5,48.5,47.5,46.5,43.5,40.0,26.7,12.1,50.0,50.0,42.2,37.4,25.6,17.6
2022,Spanish Beginners,237,39.9,5.4,49.5,49.0,47.0,44.0,40.0,36.0,25.6,11.4,50.0,47.7,41.6,34.6,24.6,16.9
2022,Spanish Continuers,148,40.3,4.3,48.0,47.0,45.5,44.0,41.0,37.0,26.8,10.8,49.6,45.9,41.5,35.6,27.0,18.8
2022,Turkish Continuers,41,42.3,4.3,49.0,49.0,47.5,46.5,42.0,39.5,22.4,13.4,50.0,50.0,41.1,33.6,18.0,13.5
2022,Vietnamese Continuers,155,39.1,4.6,46.0,46.0,44.5,42.5,39.5,37.0,20.9,11.7,47.0,46.7,37.8,29.0,19.3,12.5
2022,Automotive Exam,211,34.2,5.6,48.0,47.0,39.5,37.0,34.5,31.5,13.0,8.7,34.5,34.1,25.0,18.6,11.4,5.8
2022,Business Services Exam,1176,37.0,4.9,48.0,46.0,42.5,40.5,37.5,34.0,19.0,10.1,43.5,40.6,32.8,25.9,18.7,11.1
2022,Construction Exam,1709,38.3,4.8,48.5,47.0,44.5,42.0,38.5,35.0,16.5,9.8,40.4,38.1,31.0,24.2,15.1,8.2
2022,Electrotechnology Exam,236,32.0,6.2,47.0,46.0,39.5,35.5,32.0,28.0,18.3,8.9,39.9,38.2,31.9,23.9,17.7,11.2
2022,Entertainment Industry Exam,651,39.3,5.2,49.5,48.0,45.5,43.5,39.0,36.0,21.6,9.4,44.4,41.5,34.4,28.7,20.5,14.1
2022,Financial Services Exam,77,35.7,4.6,48.0,48.0,42.5,39.0,35.0,32.5,24.2,10.5,49.2,49.2,40.2,32.4,21.6,15.9
2022,Hospitality Exam,4300,38.0,4.8,48.5,46.5,44.0,41.5,38.5,35.0,19.0,10.1,43.8,41.3,33.3,26.3,18.5,11.1
2022,Human Services Exam,599,36.1,3.5,50.0,45.0,40.5,38.5,36.0,34.0,20.2,9.3,42.9,41.3,33.3,26.8,19.2,12.7
2022,Information & Digital Technology Exam,383,36.3,4.9,46.0,44.0,41.5,39.5,37.0,34.0,19.2,9.8,43.1,40.6,33.7,26.7,18.8,11.7
2022,Primary Industries Exam,549,37.3,4.4,48.0,46.5,43.0,40.5,37.5,34.5,17.1,9.3,39.8,38.5,31.0,24.8,16.2,9.5
2022,Retail Services Exam,745,34.7,4.3,46.0,43.0,39.5,37.5,34.5,32.0,16.6,10.5,42.5,40.9,31.2,24.2,14.8,7.4
2022,"Tourism, Travel & Events Exam",79,35.8,5.5,46.5,46.5,43.0,40.5,35.0,32.5,20.0,11.0,45.9,45.9,37.5,30.4,16.8,11.2
2023,Aboriginal Studies,781,36.3,7.9,49.5,48.5,45.5,42.0,37.5,31.5,15.7,12.4,45.8,43.5,35.3,24.6,12.8,4.8
2023,Agriculture,1417,36.1,6.8,49.5,48.0,45.0,41.0,36.5,32.0,18.9,11.4,45.8,42.5,35.7,27.6,18.1,9.1
2023,Ancient History,6682,35.9,7.2,50.0,48.0,44.5,41.0,37.0,31.5,23.0,11.1,49.5,45.1,38.3,31.5,22.9,14.0
